,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
23,0.0,0.0,0,0.0,23.0,823.0,0.0048,0.014,0.0,Mar,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
24,0.0,0.0,0,0.0,36.0,1038.0,0.0194,0.015,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
25,2.0,30.0,0,0.0,2.0,34.0,0.0,0.013,0.0,Dec,ChromeOS,Sogou Explorer,Northern Africa,Tik Tok ads,Other,False,False
26,3.0,11.0,0,0.0,25.0,1418.0,0.0048,0.024,0.0,Dec,Windows,Opera,North America,Facebook ads,Returning_Visitor,False,False
27,2.0,1.0,0,0.0,11.0,321.0,0.0,0.011,0.0,May,Windows,Mozilla Firefox,North America,Bing search,Returning_Visitor,False,False
28,0.0,0.0,0,0.0,2.0,22.0,0.0,0.1,0.0,Dec,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
29,1.0,10.0,5,1594.0,30.0,769.0,0.0138,0.022,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
30,4.0,76.255,0,0.0,11.0,113.0,0.0253,0.063,0.0,Sep,MACOS,Safari,North America,Instagram ads,Returning_Visitor,True,False
31,0.0,0.0,0,0.0,29.0,708.0,0.0071,0.035,0.0,May,Android,Google Chrome,Africa,Instagram ads,Returning_Visitor,False,False
32,2.0,,0,0.0,8.0,187.0,0.0119,0.046,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
33,4.0,64.0,0,0.0,14.0,453.0,0.0,0.012,0.0,Dec,Windows,Microsoft Edge,Western Europe,Bing search,New_Visitor,False,False
34,0.0,0.0,0,0.0,3.0,644.0,0.0667,0.089,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
35,4.0,30.0,0,0.0,19.0,1709.0,0.0,0.011,0.0,May,MACOS,Safari,North America,Google search,New_Visitor,False,False
36,,0.0,0,0.0,1.0,19.0,0.0,0.1,0.0,Mar,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,False,False
37,6.0,68.5,2,66.0,37.0,820.0,0.02,0.043,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
38,0.0,0.0,0,0.0,10.0,820.0,0.0,0.067,0.0,May,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,False,False
39,0.0,0.0,0,0.0,7.0,162.0,0.0587,0.121,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
40,0.0,0.0,0,0.0,8.0,309.0,0.0,0.024,0.0,Oct,Android,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,False,False
41,0.0,0.0,0,0.0,45.0,782.0,0.0075,0.019,14.1,Dec,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
42,,0.0,0,0.0,3.0,88.0,0.0,0.017,0.0,Mar,Android,Google Chrome,Oceania,Google search,Returning_Visitor,True,False
43,0.0,0.0,0,0.0,,946.0,0.0221,0.078,0.0,June,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
44,,0.0,0,0.0,21.0,931.0,0.0,0.006,0.0,Oct,Windows,Mozilla Firefox,South America,Bing search,Returning_Visitor,False,False
45,0.0,0.0,2,35.5,25.0,1672.0,0.0,0.004,0.0,May,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
46,0.0,0.0,0,0.0,23.0,527.0,0.0044,0.029,53.4,May,Windows,Google Chrome,South America,Twitter,Returning_Visitor,False,True
47,7.0,,0,,16.0,591.0,0.0083,0.001,0.0,Jul,MACOS,Safari,North America,Google search,New_Visitor,True,False
48,0.0,0.0,0,0.0,9.0,38.0,0.0,0.045,0.0,Mar,Windows,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
49,0.0,0.0,0,0.0,12.0,385.0,0.0,0.02,0.0,Mar,Windows,Mozilla Firefox,Western Europe,Facebook ads,Returning_Visitor,True,False
50,6.0,65.3,4,22.4,210.0,,0.0193,0.036,0.0,Sep,Windows,Google Chrome,South America,Youtube ads,Returning_Visitor,False,False
51,0.0,0.0,0,0.0,,266.0,0.0167,0.025,0.0,Nov,Android,Yandex,Southern Africa,Google search,Returning_Visitor,True,False
52,1.0,56.0,0,0.0,24.0,1287.0,0.0,0.016,24.3,May,MACOS,Safari,Asia,Bing search,Returning_Visitor,True,True
53,1.0,3.0,0,0.0,20.0,362.0,0.0,0.016,0.0,Oct,MACOS,Safari,North America,Google search,New_Visitor,True,False
54,4.0,318.6,0,0.0,62.0,1526.0,0.0053,0.009,0.0,Oct,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
55,1.0,0.0,0,0.0,30.0,,0.0,0.005,40.2,May,Windows,Google Chrome,North America,Instagram Page,New_Visitor,False,True
56,12.0,108.2727273,1,55.0,50.0,2402.0,0.0045,0.013,14.3,May,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,False
57,0.0,0.0,0,0.0,14.0,277.0,0.0,0.003,0.0,Jul,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
58,,0.0,0,0.0,16.0,132.0,0.0754,0.127,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
59,0.0,0.0,0,0.0,2.0,0.0,0.2,0.2,0.0,Nov,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
60,0.0,0.0,0,0.0,10.0,234.0,0.0,0.015,0.0,Dec,Android,Google Chrome,North America,Google search,New_Visitor,True,False
61,5.0,68.3,1,19.4,8.0,200.0,0.0,0.005,0.0,Oct,Windows,Google Chrome,North America,Tik Tok ads,Returning_Visitor,False,False
62,5.0,60.5,0,0.0,40.0,1907.0,0.0088,0.024,0.0,May,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
63,11.0,262.7357647,2,10.0,25.0,805.0,0.0,0.01,11.8,Aug,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
64,0.0,,0,0.0,5.0,106.0,0.0333,0.047,0.0,Nov,Windows,Google Chrome,Eastern Europe,Google search,New_Visitor,False,False
65,9.0,177.0,1,53.0,70.0,2555.0,0.0097,0.026,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
66,0.0,0.0,0,0.0,10.0,113.0,0.01,0.031,0.0,Nov,Android,Google Chrome,Southern Africa,Google search,Returning_Visitor,True,True
67,2.0,19.0,0,0.0,11.0,2007.0,0.0,0.03,6.3,Mar,Windows,Opera,North America,Youtube channel,Returning_Visitor,False,False
68,0.0,0.0,0,0.0,5.0,114.0,0.0,0.021,0.0,Dec,Windows,Mozilla Firefox,North America,Twitter,Returning_Visitor,False,False
69,6.0,80.0,0,0.0,16.0,429.0,0.0,0.014,22.5,Mar,MACOS,Google Chrome,South America,Google search,New_Visitor,False,True
70,1.0,5.0,3,115.3333333,38.0,1206.0,0.0126,0.044,0.0,Dec,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,False,False
71,7.0,160.5,0,0.0,31.0,403.0,0.0,0.009,0.0,May,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,False
72,6.0,79.75,0,0.0,3.0,11.0,0.0,0.06,0.0,Dec,MACOS,Safari,Western Europe,Youtube channel,New_Visitor,False,False
73,3.0,55.0,0,0.0,48.0,3091.0,0.0046,0.021,0.0,May,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
74,7.0,1675.75,0,0.0,113.0,2240.0,0.0016,0.006,30.9,May,Windows,Microsoft Edge,North America,Google search,Returning_Visitor,False,True
75,2.0,58.0,1,7.0,57.0,2283.0,0.0,0.005,0.0,Mar,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
76,3.0,16.0,2,94.75,,1588.0,0.0,0.013,21.8,Nov,MACOS,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,True
77,0.0,0.0,0,0.0,44.0,1099.0,0.0,0.024,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
78,0.0,0.0,0,0.0,3.0,45.0,0.04,0.05,0.0,May,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
79,2.0,14.0,0,0.0,53.0,665.0,0.0388,0.074,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
80,7.0,115.5,0,0.0,33.0,926.0,0.014,0.025,0.0,May,Android,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
81,5.0,235.0666667,1,45.4,12.0,369.0,0.0103,0.01,0.0,Oct,MACOS,Safari,Oceania,Google search,New_Visitor,False,False
82,0.0,0.0,0,0.0,40.0,1140.0,0.02,0.057,0.0,Nov,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
83,0.0,0.0,2,20.0,6.0,76.0,0.0,0.0,0.0,May,Windows,Mozilla Firefox,North America,Instagram Page,Returning_Visitor,False,False
84,3.0,90.0,0,0.0,25.0,763.0,0.0,0.013,149.6,Dec,MACOS,Safari,North America,Google search,New_Visitor,False,True
85,3.0,66.96666667,1,395.3333333,33.0,708.0,0.0057,0.019,0.0,May,MACOS,Safari,Africa,Google search,Returning_Visitor,False,False
86,0.0,0.0,0,0.0,2.0,42.0,0.0,0.1,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
87,3.0,18.8,0,,18.0,147.0,0.0123,0.033,0.0,Nov,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,True
88,4.0,164.2,1,16.5,8.0,312.0,0.0,0.028,0.0,Oct,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
89,2.0,,0,0.0,15.0,821.0,0.0,0.004,0.0,Sep,Windows,Google Chrome,South America,Google search,New_Visitor,False,False
90,3.0,56.5,2,59.5,110.0,2828.0,0.0145,0.045,20.0,Dec,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
91,3.0,65.5,0,0.0,13.0,148.0,0.0061,0.024,0.0,Nov,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,True,False
92,4.0,80.0,0,0.0,37.0,2789.0,0.0,0.025,0.0,May,iOS,Safari,South America,Instagram ads,Returning_Visitor,False,False
93,0.0,0.0,0,0.0,22.0,717.0,0.0064,0.026,0.0,Nov,Windows,QQ,North America,Google search,Returning_Visitor,False,False
94,0.0,0.0,0,0.0,14.0,98.0,0.0,0.017,0.0,May,Windows,Mozilla Firefox,Eastern Europe,Instagram ads,Returning_Visitor,False,False
95,16.0,787.0756,6,396.621,36.0,2858.0,0.0137,0.021,1.3,Nov,MACOS,Safari,Western Europe,Google search,New_Visitor,False,True
96,5.0,28.25,0,0.0,155.0,4936.0,0.0,0.007,4.2,Nov,Windows,Mozilla Firefox,North America,Google search,Returning_Visitor,False,True
97,0.0,0.0,0,0.0,13.0,101.0,0.0,0.018,0.0,Nov,Android,Google Chrome,Western Europe,Youtube channel,New_Visitor,False,False
98,0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,Aug,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,False
99,1.0,49.0,0,0.0,5.0,846.0,0.0,0.027,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
100,2.0,68.0,0,0.0,8.0,94.0,0.0,0.011,0.0,Dec,Windows,Google Chrome,Africa,Google search,New_Visitor,False,False
101,1.0,199.0,0,0.0,,1297.0,0.0,0.01,16.1,May,Windows,Google Chrome,Asia,Bing search,Returning_Visitor,False,False
102,6.0,80.0,0,0.0,6.0,119.0,0.0,0.023,0.0,Mar,Windows,Microsoft Edge,Eastern Europe,Facebook ads,Returning_Visitor,False,False
103,5.0,31.0,0,0.0,42.0,1326.0,0.0057,0.023,0.0,Mar,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,True,False
104,1.0,166.5,0,0.0,,669.0,0.0088,0.019,0.0,May,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,True,False
105,7.0,441.0,0,0.0,28.0,470.0,0.0,0.008,0.0,Mar,Windows,Google Chrome,Africa,Youtube channel,New_Visitor,True,False
106,1.0,80.0,1,25.0,10.0,1157.0,0.0143,0.019,0.0,May,MACOS,Safari,South America,Twitter,Returning_Visitor,False,False
107,0.0,0.0,1,0.0,15.0,412.0,0.0,0.019,35.1,May,MACOS,Safari,Eastern Europe,Bing search,Returning_Visitor,True,True
108,9.0,342.0666667,0,0.0,16.0,199.0,0.0063,0.014,0.0,Mar,MACOS,Safari,Africa,Instagram ads,Returning_Visitor,False,False
109,0.0,0.0,0,0.0,10.0,228.0,0.0,0.016,38.8,Dec,Windows,Google Chrome,Northern Africa,Facebook ads,Returning_Visitor,False,True
110,0.0,0.0,2,76.5,6.0,25.0,0.0667,0.071,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
111,0.0,0.0,0,0.0,9.0,165.0,0.0662,0.056,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
112,5.0,171.25,1,0.0,362.0,12259.0,0.0044,0.025,1.2,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
113,0.0,0.0,0,0.0,6.0,142.0,0.0,0.017,59.0,Mar,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,True
114,0.0,0.0,0,0.0,12.0,223.0,0.0,0.02,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
115,4.0,145.0,0,0.0,7.0,243.0,0.013,0.033,0.0,May,MACOS,Safari,North America,Newsletter,Returning_Visitor,True,False
116,0.0,0.0,0,0.0,6.0,0.0,0.2,0.2,0.0,Oct,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
117,8.0,,2,62.0,36.0,4921.0,0.0168,0.031,6.9,May,Windows,Google Chrome,Oceania,Facebook ads,Returning_Visitor,False,False
118,0.0,0.0,0,0.0,13.0,377.0,0.0181,0.031,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
119,0.0,0.0,0,0.0,5.0,125.0,0.0333,0.05,0.0,May,MACOS,Safari,North America,Google search,Returning_Visitor,True,False
120,0.0,,0,0.0,5.0,210.0,0.0667,0.071,0.0,Nov,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
121,2.0,55.0,3,347.0,21.0,660.0,0.0278,0.049,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
122,,133.0833333,1,229.5,50.0,1713.0,0.0,0.007,8.6,May,Android,Google Chrome,Western Europe,Bing search,Returning_Visitor,True,False
123,3.0,122.0,0,0.0,,1187.0,0.0011,0.004,36.5,Mar,Windows,Internet Explorer,Africa,Google search,Returning_Visitor,True,True
124,0.0,0.0,0,0.0,11.0,217.0,0.0254,0.062,0.0,Dec,MACOS,Safari,Eastern Europe,Tik Tok ads,Returning_Visitor,False,False
125,8.0,72.0,0,0.0,44.0,2791.0,0.0054,0.015,0.0,May,iOS,Safari,North America,Google search,Returning_Visitor,False,False
126,3.0,24.2,0,0.0,3.0,0.0,0.0,0.067,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
127,0.0,0.0,0,0.0,,258.0,0.0045,0.057,54.0,May,Windows,Google Chrome,Northern Africa,Google search,Returning_Visitor,False,True
128,0.0,0.0,0,0.0,8.0,222.0,0.0,0.015,0.0,June,MACOS,Safari,Northern Africa,Google search,Returning_Visitor,False,False
129,0.0,0.0,0,0.0,12.0,343.0,0.0087,0.018,0.0,Nov,Android,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
130,0.0,0.0,0,0.0,24.0,2172.0,0.0035,0.015,0.0,Nov,Windows,Google Chrome,North America,Direct Traffic,Returning_Visitor,False,False
131,0.0,0.0,0,0.0,37.0,341.0,0.0,0.009,73.4,Nov,Android,Google Chrome,Western Europe,Tik Tok ads,Returning_Visitor,True,True
132,8.0,81.2333333,2,141.2666667,34.0,1139.0,0.0,0.011,0.0,Nov,Windows,Mozilla Firefox,North America,Google search,New_Visitor,False,False
133,0.0,0.0,0,0.0,5.0,1277.0,0.0,0.027,0.0,Nov,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,True
134,7.0,284.0,2,15.0,47.0,1788.0,0.02,0.02,0.0,Nov,MACOS,Safari,Oceania,Google search,Returning_Visitor,False,False
135,14.0,167.9133333,4,234.2,62.0,9813.0,0.004,0.009,45.9,Oct,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
136,5.0,221.75,0,0.0,19.0,1326.0,0.0051,0.041,17.5,Nov,MACOS,Safari,North America,Google search,Returning_Visitor,False,True
137,0.0,0.0,0,0.0,23.0,1102.0,0.0032,0.027,0.0,Nov,Android,Google Chrome,North America,Google search,Returning_Visitor,False,True
138,0.0,0.0,0,0.0,3.0,50.0,0.0,0.025,0.0,Dec,Android,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
139,10.0,178.7082343,1,155.0,259.0,8290.0,0.0032,0.004,3.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
140,0.0,0.0,0,0.0,20.0,919.0,0.0,0.003,65.0,Nov,Android,Google Chrome,South America,Youtube channel,New_Visitor,False,True
141,1.0,106.0,0,0.0,27.0,2271.0,0.0115,0.035,0.0,May,Android,Google Chrome,Oceania,Bing search,Returning_Visitor,False,False
142,1.0,454.3,0,0.0,38.0,1380.0,0.0058,0.023,16.5,Oct,Windows,Google Chrome,Western Europe,Bing search,Returning_Visitor,False,True
143,0.0,0.0,0,0.0,27.0,833.0,0.0,0.014,0.0,Dec,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,True,False
144,0.0,,0,0.0,7.0,463.0,0.0,0.02,0.0,May,Windows,Microsoft Edge,Western Europe,Facebook ads,New_Visitor,False,False
145,0.0,0.0,0,0.0,3.0,0.0,0.2,0.2,0.0,May,Windows,Google Chrome,Eastern Europe,Instagram Page,Returning_Visitor,False,False
146,1.0,5.5,0,0.0,11.0,496.0,0.0,0.025,71.4,Nov,Windows,Google Chrome,North America,Youtube channel,Returning_Visitor,False,False
147,0.0,0.0,0,0.0,6.0,29.0,0.0534,0.067,0.0,Mar,Windows,Google Chrome,Southern Africa,Facebook ads,Returning_Visitor,True,False
148,0.0,0.0,2,27.0,69.0,1688.0,0.0,0.015,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
149,0.0,0.0,0,0.0,,442.0,0.0226,0.044,0.0,May,MACOS,Safari,Western Europe,Bing search,Returning_Visitor,False,False
150,0.0,0.0,2,31.5,33.0,1395.0,0.0,0.024,11.9,Mar,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,True
151,0.0,0.0,2,12.0,21.0,1092.0,0.0094,0.036,5.1,May,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
152,9.0,313.1666667,4,221.0,62.0,2295.0,0.0,0.006,17.0,May,Windows,Google Chrome,North America,Instagram Page,New_Visitor,True,False
153,0.0,0.0,0,0.0,,60.0,0.0,0.0,0.0,Mar,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,True,False
154,3.0,61.0,1,33.6,70.0,,0.019,0.024,0.0,Jul,Android,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,True,False
155,7.0,89.83333333,4,58.0,32.0,2333.0,0.0053,0.019,17.5,Mar,MACOS,Safari,North America,Instagram ads,Returning_Visitor,False,True
156,,28.9,0,0.0,129.0,5489.0,0.0,0.001,0.0,Nov,Windows,Mozilla Firefox,North America,Google search,New_Visitor,False,True
157,0.0,0.0,1,2.0,20.0,462.0,0.0017,0.026,0.0,Nov,iOS,Safari,North America,Instagram ads,Returning_Visitor,False,False
158,0.0,0.0,0,0.0,9.0,298.0,0.0154,0.035,0.0,May,Android,Google Chrome,Asia,Direct Traffic,Returning_Visitor,False,False
159,0.0,0.0,0,0.0,44.0,828.0,0.0,0.002,36.5,May,Windows,Google Chrome,Western Europe,Google search,New_Visitor,True,True
160,6.0,51.0,2,166.6666667,50.0,725.0,0.0101,0.031,0.0,Dec,Windows,Google Chrome,North America,Google search,New_Visitor,False,False
161,4.0,82.5,4,220.0,54.0,4444.0,0.0018,0.029,14.9,Mar,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
162,10.0,118.0,3,96.5,167.0,5162.0,0.0041,0.02,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
163,3.0,62.6,0,0.0,11.0,439.0,0.0,0.013,0.0,Nov,Windows,Google Chrome,North America,Twitter,Returning_Visitor,True,False
164,10.0,185.6666667,0,0.0,123.0,3730.0,0.0046,0.012,1.2,Nov,Windows,Google Chrome,Africa,Other,Returning_Visitor,False,True
165,1.0,11.0,0,0.0,10.0,332.0,0.0,0.02,0.0,Nov,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
166,0.0,0.0,0,0.0,4.0,168.0,0.0,0.067,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
167,0.0,0.0,0,0.0,40.0,881.0,0.0,0.017,0.0,Dec,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
168,0.0,0.0,0,0.0,24.0,558.0,0.0,0.021,0.0,May,Windows,Google Chrome,Eastern Europe,Bing search,Returning_Visitor,False,False
169,7.0,,0,0.0,38.0,929.0,0.0,0.01,0.0,Aug,iOS,Safari,North America,Bing search,Returning_Visitor,False,False
170,0.0,0.0,0,,18.0,1522.0,0.021,0.048,0.0,Mar,Windows,Google Chrome,Eastern Europe,Facebook ads,Returning_Visitor,False,False
171,0.0,0.0,0,0.0,,1457.0,0.0,0.009,51.1,Dec,Windows,Mozilla Firefox,North America,Youtube channel,New_Visitor,True,True
172,0.0,100.02,3,31.5,7.0,197.0,0.0,0.02,0.0,Nov,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
173,0.0,0.0,0,0.0,38.0,606.0,0.015,0.028,0.0,May,Windows,Google Chrome,Oceania,Google search,Returning_Visitor,False,False
174,0.0,0.0,0,0.0,19.0,417.0,0.0094,0.04,0.0,May,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,False
175,0.0,0.0,0,0.0,12.0,243.0,0.04,0.05,0.0,May,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
176,0.0,,0,0.0,,1613.0,0.0053,0.022,14.7,Mar,Android,Google Chrome,Eastern Europe,Google search,Returning_Visitor,False,True
177,2.0,77.42185854,5,108.58,154.0,3332.0,0.0222,0.029,9.1,Nov,MACOS,Safari,Africa,Facebook ads,Returning_Visitor,False,True
178,4.0,145.5,0,0.0,13.0,248.0,0.0,0.015,0.0,Mar,MACOS,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
179,0.0,0.0,6,64.5,15.0,371.0,0.0,0.037,0.0,Mar,Windows,Google Chrome,North America,Youtube channel,New_Visitor,False,False
180,0.0,0.0,0,0.0,38.0,1920.0,0.0097,0.011,0.0,Nov,MACOS,Safari,North America,Youtube channel,Returning_Visitor,False,False
181,0.0,0.0,0,0.0,1.0,0.0,0.2,0.2,0.0,Mar,Android,Google Chrome,North America,Affiliate marketing,Returning_Visitor,False,False
182,4.0,,0,0.0,111.0,4426.0,0.0022,0.022,0.0,Nov,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
183,2.0,18.0,0,0.0,21.0,1372.0,0.0,0.028,0.0,May,Android,Google Chrome,Eastern Europe,Google search,Returning_Visitor,False,False
184,,15.33333333,1,199.7,6.0,426.0,0.0,0.025,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
185,0.0,0.0,0,0.0,19.0,770.0,0.0053,0.033,0.0,May,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,False,False
186,0.0,0.0,0,0.0,24.0,671.0,0.0,0.012,0.0,Jul,Windows,Google Chrome,Northern Africa,Google search,Returning_Visitor,False,False
187,0.0,0.0,0,0.0,21.0,524.0,0.0333,0.047,0.0,May,Windows,Microsoft Edge,North America,Twitter,Returning_Visitor,False,False
188,0.0,,0,0.0,19.0,454.0,0.0,0.012,0.0,Nov,Windows,Google Chrome,South America,Google search,Returning_Visitor,False,False
