administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
3,3.258096538021482,4,5.768320995793772,59,7.803026643632217,-5.843044541989709,-3.9633162998156966,0.0,Dec,Windows,Google Chrome,Southern Africa,Google search,Returning_Visitor,False,False
4,1.791759469228055,2,2.6026896854443837,41,7.241366283322318,0.0,-4.135166556742356,0.0,May,Windows,Mozilla Firefox,Africa,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,14,7.221105098182496,0.0,-3.270169119255751,0.0,May,MACOS,Samsung Internet,Western Europe,Google search,Returning_Visitor,False,False
0,1.791759469228055,0,0.0,14,6.92461239604856,0.0,-6.214608098422191,0.0,Dec,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,False,False
0,0.0,0,0.0,23,6.71295620067707,-5.339139361068292,-4.268697949366879,0.0,Mar,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,36,6.945051063725834,-3.9424822129128545,-4.199705077879927,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
2,3.4011973816621555,0,0.0,2,3.5263605246161616,0.0,-4.3428059215206005,0.0,Dec,ChromeOS,Sogou Explorer,Northern Africa,Tik Tok ads,Other,False,False
3,2.3978952727983707,0,0.0,25,7.257002707092073,-5.339139361068292,-3.7297014486341915,0.0,Dec,Windows,Opera,North America,Facebook ads,Returning_Visitor,False,False
2,0.0,0,0.0,11,5.771441123130016,0.0,-4.509860006183766,0.0,May,Windows,Mozilla Firefox,North America,Bing search,Returning_Visitor,False,False
0,0.0,0,0.0,2,3.091042453358316,0.0,-2.3025850929940455,0.0,Dec,Android,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
4,4.330733340286331,0,0.0,11,4.727387818712341,-3.6769508832486624,-2.7646205525906042,0.0,Sep,MACOS,Safari,North America,Instagram ads,Returning_Visitor,True,False
0,0.0,0,0.0,29,6.56244409369372,-4.947660494934867,-3.3524072174927233,0.0,May,Android,Google Chrome,Africa,Instagram ads,Returning_Visitor,False,False
2,1.791759469228055,0,0.0,8,5.231108616854587,-4.431216878864653,-3.079113882493042,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
4,4.1588830833596715,0,0.0,14,6.115892125483034,0.0,-4.422848629194137,0.0,Dec,Windows,Microsoft Edge,Western Europe,Bing search,New_Visitor,False,False
0,0.0,0,0.0,3,6.467698726104354,-2.707550326060559,-2.419118909249997,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
4,3.4011973816621555,0,0.0,19,7.443663683115591,0.0,-4.509860006183766,0.0,May,MACOS,Safari,North America,Google search,New_Visitor,False,False
0,0.0,0,0.0,1,2.9444389791664403,0.0,-2.3025850929940455,0.0,Mar,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,False,False
6,4.219507705176107,2,4.189654742026425,37,6.709304340258298,-3.912023005428146,-3.146555163288575,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
0,0.0,0,0.0,10,6.709304340258298,0.0,-2.703062659591171,0.0,May,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,False,False
0,0.0,0,0.0,7,5.087596335232384,-2.8353155521480864,-2.111964733385396,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
0,0.0,0,0.0,8,5.733341276897746,0.0,-3.7297014486341915,0.0,Oct,Android,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,False,False
0,0.0,0,0.0,45,6.661854740545311,-4.892852258439873,-3.9633162998156966,2.6461747973841225,Dec,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,3,4.477336814478207,0.0,-4.074541934925921,0.0,Mar,Android,Google Chrome,Oceania,Google search,Returning_Visitor,True,False
0,0.0,0,0.0,21,6.836259277277067,0.0,-5.115995809754082,0.0,Oct,Windows,Mozilla Firefox,South America,Bing search,Returning_Visitor,False,False
0,0.0,2,3.56953269648137,25,7.421775793644647,0.0,-5.521460917862246,0.0,May,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
0,0.0,0,0.0,23,6.267200548541362,-5.426150738057921,-3.540459448995663,3.977810745966149,May,Windows,Google Chrome,South America,Twitter,Returning_Visitor,False,True
0,0.0,0,0.0,9,3.6375861597263857,0.0,-3.101092789211817,0.0,Mar,Windows,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,12,5.953243334287785,0.0,-3.912023005428146,0.0,Mar,Windows,Mozilla Firefox,Western Europe,Facebook ads,Returning_Visitor,True,False
1,4.02535169073515,0,0.0,24,7.160069207596127,0.0,-4.135166556742356,3.190476350346503,May,MACOS,Safari,Asia,Bing search,Returning_Visitor,True,True
1,1.0986122886681098,0,0.0,20,5.8916442118257715,0.0,-4.135166556742356,0.0,Oct,MACOS,Safari,North America,Google search,New_Visitor,True,False
4,5.762051382780177,0,0.0,62,7.330405211844402,-5.240048458424061,-4.710530701645918,0.0,Oct,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
12,4.68213122712422,1,4.007333185232471,50,7.784057002639929,-5.403677882205863,-4.3428059215206005,2.6602595372658615,May,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,14,5.6240175061873385,0.0,-5.809142990314028,0.0,Jul,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,16,4.882801922586371,-2.584948003968227,-2.0635681925235456,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,2,0.0,-1.6094379124341003,-1.6094379124341003,0.0,Nov,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
0,0.0,0,0.0,10,5.455321115357702,0.0,-4.199705077879927,0.0,Dec,Android,Google Chrome,North America,Google search,New_Visitor,True,False
5,4.219507705176107,1,2.9652730660692823,8,5.298317366548036,0.0,-5.298317366548036,0.0,Oct,Windows,Google Chrome,North America,Tik Tok ads,Returning_Visitor,False,False
5,4.0943445622221,0,0.0,40,7.553286605600419,-4.733003557497976,-3.7297014486341915,0.0,May,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
11,5.568344503761097,2,2.302585092994046,25,6.690842277418564,0.0,-4.605170185988091,2.468099531471619,Aug,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
0,1.791759469228055,0,0.0,5,4.663439094112067,-3.402197881995739,-3.0576076772720784,0.0,Nov,Windows,Google Chrome,Eastern Europe,Google search,New_Visitor,False,False
9,5.176149732573829,1,3.970291913552122,70,7.845807502637805,-4.6356293934728,-3.649658740960655,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,10,4.727387818712341,-4.605170185988091,-3.473768074496991,0.0,Nov,Android,Google Chrome,Southern Africa,Google search,Returning_Visitor,True,True
2,2.9444389791664403,0,0.0,11,7.604396348796338,0.0,-3.506557897319982,1.840549633397487,Mar,Windows,Opera,North America,Youtube channel,Returning_Visitor,False,False
0,0.0,0,0.0,5,4.736198448394496,0.0,-3.863232841258714,0.0,Dec,Windows,Mozilla Firefox,North America,Twitter,Returning_Visitor,False,False
6,4.382026634673881,0,0.0,16,6.061456918928017,0.0,-4.268697949366879,3.1135153092103742,Mar,MACOS,Google Chrome,South America,Google search,New_Visitor,False,True
1,1.6094379124341003,3,4.747826486100597,38,7.095064377287131,-4.374058465024705,-3.123565645063876,0.0,Dec,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,False,False
7,5.075173815233827,0,0.0,31,5.998936561946683,0.0,-4.710530701645918,0.0,May,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,False
6,4.3694478524670215,0,0.0,3,2.3978952727983707,0.0,-2.8134107167600364,0.0,Dec,MACOS,Safari,Western Europe,Youtube channel,New_Visitor,False,False
3,4.007333185232471,0,0.0,48,8.036249942132116,-5.381698975487088,-3.863232841258714,0.0,May,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
7,7.423568444259167,0,0.0,113,7.7142311448490855,-6.437751649736401,-5.115995809754082,3.4307561839036995,May,Windows,Microsoft Edge,North America,Google search,Returning_Visitor,False,True
2,4.060443010546419,1,1.9459101490553132,57,7.733245646529795,0.0,-5.298317366548036,0.0,Mar,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,44,7.002155954403621,0.0,-3.7297014486341915,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
0,0.0,0,0.0,3,3.8066624897703196,-3.2188758248682006,-2.995732273553991,0.0,May,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
2,2.6390573296152584,0,0.0,53,6.499787040655854,-3.249335032352909,-2.6036901857779675,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
7,4.74493212836325,0,0.0,33,6.8308742346461795,-4.268697949366879,-3.6888794541139363,0.0,May,Android,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
5,5.459585514144159,1,3.8155121050473024,12,5.910796644040527,-4.575611383746547,-4.605170185988091,0.0,Oct,MACOS,Safari,Oceania,Google search,New_Visitor,False,False
0,0.0,0,0.0,40,7.038783541388542,-3.912023005428146,-2.864704011147587,0.0,Nov,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
0,0.0,0,0.0,2,3.7376696182833684,0.0,-2.3025850929940455,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
4,5.099866427824199,1,2.803360380906535,8,5.7430031878094825,0.0,-3.575550768806933,0.0,Oct,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
2,1.791759469228055,0,0.0,15,6.710523109452428,0.0,-5.521460917862246,0.0,Sep,Windows,Google Chrome,South America,Google search,New_Visitor,False,False
3,4.02535169073515,2,4.085976312551584,110,7.947325027016463,-4.2336066295556085,-3.101092789211817,2.995732273553991,Dec,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
3,4.174387269895637,0,0.0,13,4.997212273764115,-5.099466507802871,-3.7297014486341915,0.0,Nov,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,True,False
4,4.382026634673881,0,0.0,37,7.933438387627489,0.0,-3.6888794541139363,0.0,May,iOS,Safari,South America,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,22,6.57507584059962,-5.051457288616511,-3.649658740960655,0.0,Nov,Windows,QQ,North America,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,14,4.584967478670572,0.0,-4.074541934925921,0.0,May,Windows,Mozilla Firefox,Eastern Europe,Instagram ads,Returning_Visitor,False,False
5,3.332204510175204,0,0.0,155,8.504310565585223,0.0,-4.961845129926823,1.4350845252893227,Nov,Windows,Mozilla Firefox,North America,Google search,Returning_Visitor,False,True
0,0.0,0,0.0,13,4.61512051684126,0.0,-4.017383521085972,0.0,Nov,Android,Google Chrome,Western Europe,Youtube channel,New_Visitor,False,False
0,0.0,0,0.0,1,0.0,-1.6094379124341003,-1.6094379124341003,0.0,Aug,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,False
1,3.8918202981106265,0,0.0,5,6.740519359606223,0.0,-3.611918412977808,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
2,4.219507705176107,0,0.0,8,4.543294782270004,0.0,-4.509860006183766,0.0,Dec,Windows,Google Chrome,Africa,Google search,New_Visitor,False,False
6,4.382026634673881,0,0.0,6,4.77912349311153,0.0,-3.7722610630529876,0.0,Mar,Windows,Microsoft Edge,Eastern Europe,Facebook ads,Returning_Visitor,False,False
5,3.4339872044851463,0,0.0,42,7.189922170745808,-5.1672891041416324,-3.7722610630529876,0.0,Mar,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,True,False
7,6.089044875446846,0,0.0,28,6.152732694704104,0.0,-4.8283137373023015,0.0,Mar,Windows,Google Chrome,Africa,Youtube channel,New_Visitor,True,False
1,4.382026634673881,1,3.2188758248682006,10,7.053585727193677,-4.247495741716276,-3.9633162998156966,0.0,May,MACOS,Safari,South America,Twitter,Returning_Visitor,False,False
0,0.0,1,0.0,15,6.021023349349527,0.0,-3.9633162998156966,3.55820113047182,May,MACOS,Safari,Eastern Europe,Bing search,Returning_Visitor,True,True
9,5.834810737062605,0,0.0,16,5.293304824724492,-5.06720564558465,-4.268697949366879,0.0,Mar,MACOS,Safari,Africa,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,10,5.429345628954441,0.0,-4.135166556742356,3.6584202466292277,Dec,Windows,Google Chrome,Northern Africa,Facebook ads,Returning_Visitor,False,True
0,0.0,2,4.33729074083249,6,3.2188758248682006,-2.707550326060559,-2.645075401940822,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,9,5.10594547390058,-2.7150748160391744,-2.8824035882469876,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
5,5.14166355650266,1,0.0,362,9.414015640094995,-5.426150738057921,-3.6888794541139363,0.1823215567939546,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,6,4.955827057601261,0.0,-4.074541934925921,4.07753744390572,Mar,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,True
0,0.0,0,0.0,12,5.407171771460119,0.0,-3.912023005428146,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
4,4.976733742420574,0,0.0,7,5.493061443340548,-4.3428059215206005,-3.4112477175156566,0.0,May,MACOS,Safari,North America,Newsletter,Returning_Visitor,True,False
0,0.0,0,0.0,6,0.0,-1.6094379124341003,-1.6094379124341003,0.0,Oct,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
8,1.791759469228055,2,4.127134385045092,36,8.501267040865978,-4.086376392572924,-3.473768074496991,1.9315214116032138,May,Windows,Google Chrome,Oceania,Facebook ads,Returning_Visitor,False,False
0,0.0,0,0.0,13,5.932245187448011,-4.011843340710357,-3.473768074496991,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,5,4.8283137373023015,-3.402197881995739,-2.995732273553991,0.0,May,MACOS,Safari,North America,Google search,Returning_Visitor,True,False
0,1.791759469228055,0,0.0,5,5.3471075307174685,-2.707550326060559,-2.645075401940822,0.0,Nov,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
2,4.007333185232471,3,5.849324779946859,21,6.492239835020471,-3.582719258285546,-3.0159349808715104,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
0,4.890349128221754,1,5.4359030295006,50,7.44600149832412,0.0,-4.961845129926823,2.151762203259462,May,Android,Google Chrome,Western Europe,Bing search,Returning_Visitor,True,False
0,0.0,0,0.0,11,5.37989735354046,-3.673006104957646,-2.7806208939370456,0.0,Dec,MACOS,Safari,Eastern Europe,Tik Tok ads,Returning_Visitor,False,False
8,4.276666119016055,0,0.0,44,7.934155233536322,-5.221356325411908,-4.199705077879927,0.0,May,iOS,Safari,North America,Google search,Returning_Visitor,False,False
3,3.1780538303479458,0,0.0,3,0.0,0.0,-2.703062659591171,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
0,0.0,0,0.0,8,5.402677381872279,0.0,-4.199705077879927,0.0,June,MACOS,Safari,Northern Africa,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,12,5.8377304471659395,-4.744432253321599,-4.017383521085972,0.0,Nov,Android,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
0,0.0,0,0.0,24,7.683403681053826,-5.654992310486769,-4.199705077879927,0.0,Nov,Windows,Google Chrome,North America,Direct Traffic,Returning_Visitor,False,False
8,4.394449154672439,2,4.95064935740205,34,7.037905963447182,0.0,-4.509860006183766,0.0,Nov,Windows,Mozilla Firefox,North America,Google search,New_Visitor,False,False
0,0.0,0,0.0,5,7.152268856032539,0.0,-3.611918412977808,0.0,Nov,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,True
7,5.648974238161206,2,2.70805020110221,47,7.488852955733459,-3.912023005428146,-3.912023005428146,0.0,Nov,MACOS,Safari,Oceania,Google search,Returning_Visitor,False,False
14,5.117993812416755,4,5.456175451163617,62,9.191463316206494,-5.521460917862246,-4.710530701645918,3.8264651170664994,Oct,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
5,5.3981627015177525,0,0.0,19,7.189922170745808,-5.2785147392518565,-3.1941832122778293,2.8622008809294686,Nov,MACOS,Safari,North America,Google search,Returning_Visitor,False,True
0,0.0,0,0.0,23,7.004881989712859,-5.744604469176456,-3.611918412977808,0.0,Nov,Android,Google Chrome,North America,Google search,Returning_Visitor,False,True
0,0.0,0,0.0,3,3.912023005428146,0.0,-3.6888794541139363,0.0,Dec,Android,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
10,5.181783550292085,1,5.043425116919247,259,9.022805248129341,-5.744604469176456,-5.521460917862246,1.0986122886681098,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
0,0.0,0,0.0,20,6.823286122355687,0.0,-5.809142990314028,4.174387269895637,Nov,Android,Google Chrome,South America,Youtube channel,New_Visitor,False,True
1,4.663439094112067,0,0.0,27,7.7279755421055585,-4.4654082436129325,-3.3524072174927233,0.0,May,Android,Google Chrome,Oceania,Bing search,Returning_Visitor,False,False
1,6.118097198041348,0,0.0,38,7.22983877815125,-5.149897361429764,-3.7722610630529876,2.803360380906535,Oct,Windows,Google Chrome,Western Europe,Bing search,Returning_Visitor,False,True
0,0.0,0,0.0,27,6.725033642166843,0.0,-4.268697949366879,0.0,Dec,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,True,False
0,1.791759469228055,0,0.0,7,6.137727054086234,0.0,-3.912023005428146,0.0,May,Windows,Microsoft Edge,Western Europe,Facebook ads,New_Visitor,False,False
0,0.0,0,0.0,3,0.0,-1.6094379124341003,-1.6094379124341003,0.0,May,Windows,Google Chrome,Eastern Europe,Instagram Page,Returning_Visitor,False,False
0,0.0,0,0.0,6,3.367295829986474,-2.9299445330159877,-2.703062659591171,0.0,Mar,Windows,Google Chrome,Southern Africa,Facebook ads,Returning_Visitor,True,False
0,0.0,2,3.295836866004329,69,7.431299675155903,0.0,-4.199705077879927,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
0,0.0,2,3.449987545831587,33,7.240649694255466,0.0,-3.7297014486341915,2.4765384001174837,Mar,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,True
0,0.0,2,2.4849066497880004,21,6.9957661563048505,-4.667045589706179,-3.3242363405260273,1.62924053973028,May,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
9,5.746203190540153,4,5.3981627015177525,62,7.738488122494646,0.0,-5.115995809754082,2.833213344056216,May,Windows,Google Chrome,North America,Instagram Page,New_Visitor,True,False
7,4.48863636973214,4,4.060443010546419,32,7.75491027202143,-5.240048458424061,-3.9633162998156966,2.8622008809294686,Mar,MACOS,Safari,North America,Instagram ads,Returning_Visitor,False,True
0,0.0,1,0.6931471805599453,20,6.135564891081739,-6.3771270279199666,-3.649658740960655,0.0,Nov,iOS,Safari,North America,Instagram ads,Returning_Visitor,False,False
0,0.0,0,0.0,9,5.697093486505405,-4.173387769562553,-3.3524072174927233,0.0,May,Android,Google Chrome,Asia,Direct Traffic,Returning_Visitor,False,False
0,0.0,0,0.0,44,6.71901315438526,0.0,-6.214608098422191,3.597312260588446,May,Windows,Google Chrome,Western Europe,Google search,New_Visitor,True,True
6,3.9318256327243257,2,5.115995809954082,50,6.586171654854675,-4.595219855134923,-3.473768074496991,0.0,Dec,Windows,Google Chrome,North America,Google search,New_Visitor,False,False
4,4.406719247264253,4,5.393627546352362,54,8.39931015075952,-6.319968614080018,-3.540459448995663,2.7013612129514133,Mar,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
10,4.770684624465665,3,4.56954300834494,167,8.54907938027856,-5.496768305271875,-3.912023005428146,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
3,4.127134385045092,0,0.0,11,6.0844994130751715,0.0,-4.3428059215206005,0.0,Nov,Windows,Google Chrome,North America,Twitter,Returning_Visitor,True,False
10,5.220355825078324,0,0.0,123,8.224163512637862,-5.381698975487088,-4.422848629194137,0.1823215567939546,Nov,Windows,Google Chrome,Africa,Other,Returning_Visitor,False,True
1,2.3978952727983707,0,0.0,10,5.805134968916488,0.0,-3.912023005428146,0.0,Nov,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,4,5.123963979403259,0.0,-2.703062659591171,0.0,May,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,40,6.78105762593618,0.0,-4.074541934925921,0.0,Dec,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,24,6.324358962381311,0.0,-3.863232841258714,0.0,May,Windows,Google Chrome,Eastern Europe,Bing search,Returning_Visitor,False,False
7,1.791759469228055,0,0.0,38,6.834108738813838,0.0,-4.605170185988091,0.0,Aug,iOS,Safari,North America,Bing search,Returning_Visitor,False,False
0,4.605170185988092,3,3.449987545831587,7,5.2832037287379885,0.0,-3.912023005428146,0.0,Nov,Android,Google Chrome,North America,Twitter,Returning_Visitor,False,False
0,0.0,0,0.0,38,6.406879986069314,-4.199705077879927,-3.575550768806933,0.0,May,Windows,Google Chrome,Oceania,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,19,6.0330862217988015,-4.667045589706179,-3.2188758248682006,0.0,May,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,False
0,0.0,0,0.0,12,5.493061443340548,-3.2188758248682006,-2.995732273553991,0.0,May,Windows,Microsoft Edge,North America,Instagram ads,Returning_Visitor,False,False
2,4.343805421853684,5,4.687487228477305,154,8.111328003286733,-3.8076629901039034,-3.540459448995663,2.2082744135228043,Nov,MACOS,Safari,Africa,Facebook ads,Returning_Visitor,False,True
4,4.976733742420574,0,0.0,13,5.5134287461649825,0.0,-4.199705077879927,0.0,Mar,MACOS,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
0,0.0,6,4.1666652238017265,15,5.916202062607435,0.0,-3.2968373663379125,0.0,Mar,Windows,Google Chrome,North America,Youtube channel,New_Visitor,False,False
0,0.0,0,0.0,38,7.560080465021827,-4.6356293934728,-4.509860006183766,0.0,Nov,MACOS,Safari,North America,Youtube channel,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,-1.6094379124341003,-1.6094379124341003,0.0,Mar,Android,Google Chrome,North America,Affiliate marketing,Returning_Visitor,False,False
4,1.791759469228055,0,0.0,111,8.395251520610994,-6.119297918617867,-3.816712825623821,0.0,Nov,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
2,2.8903717578961645,0,0.0,21,7.22402480828583,0.0,-3.575550768806933,0.0,May,Android,Google Chrome,Eastern Europe,Google search,Returning_Visitor,False,False
0,2.70805020110221,1,5.296816240421769,6,6.054439346269371,0.0,-3.6888794541139363,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,19,6.646390514847729,-5.240048458424061,-3.4112477175156566,0.0,May,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,False,False
0,0.0,0,0.0,24,6.508769136971682,0.0,-4.422848629194137,0.0,Jul,Windows,Google Chrome,Northern Africa,Google search,Returning_Visitor,False,False
0,0.0,0,0.0,21,6.261491684321042,-3.402197881995739,-3.0576076772720784,0.0,May,Windows,Microsoft Edge,North America,Twitter,Returning_Visitor,False,False
0,1.791759469228055,0,0.0,19,6.118097198041348,0.0,-4.422848629194137,0.0,Nov,Windows,Google Chrome,South America,Google search,Returning_Visitor,False,False
6,5.267858159063328,2,3.871201010907891,43,7.577121930876679,-5.298317366548036,-4.268697949366879,2.066862759472976,Mar,MACOS,Safari,Africa,Google search,Returning_Visitor,False,True
5,3.9889840465642745,0,0.0,8,5.099866427824199,0.0,-3.912023005428146,0.0,Feb,Windows,Google Chrome,North America,Instagram Page,New_Visitor,True,False
0,0.0,0,0.0,3,3.912023005428146,0.0,-2.995732273553991,0.0,Dec,Windows,Google Chrome,Oceania,Facebook ads,Returning_Visitor,False,False
3,4.02535169073515,2,2.6567569067146595,21,7.870165946469845,-4.358310108056566,-3.6888794541139363,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,True
4,3.8066624897703196,1,2.302585092994046,17,5.365976015021851,0.0,-4.074541934925921,0.0,May,Windows,Google Chrome,Western Europe,Bing search,Returning_Visitor,False,False
0,0.0,0,0.0,2,3.5553480614894135,0.0,-2.3025850929940455,0.0,May,MACOS,Safari,Asia,Bing search,Returning_Visitor,False,False
